,state_abr,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,prod_year,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
109,FL,205000.0,98,20090000.0,2009000.0,1.02,20492000.0,2004,0.0,15851.0,1146.7,0.0,0.0,16997.7
110,FL,210000.0,71,14910000.0,1491000.0,1.32,19681000.0,2003,0.0,35597.6,0.0,0.0,0.0,35597.6
111,FL,215000.0,50,10750000.0,538000.0,2.43,26123000.0,2016,93.8,52580.4,11642.4,1.8,0.0,64318.4
112,FL,220000.0,100,22000000.0,3432000.0,0.64,14080000.0,2001,0.0,9378.8,0.0,0.0,0.0,9378.8
113,FL,220000.0,54,11880000.0,832000.0,1.97,23404000.0,2015,198.9,37847.4,7991.5,712.0,0.0,46749.8
114,FL,220000.0,61,13420000.0,1074000.0,2.03,27243000.0,2013,281.9,61532.0,13291.0,643.9,0.0,75748.8
115,FL,220000.0,93,20460000.0,2026000.0,1.14,23324000.0,2002,0.0,7846.5,10.2,0.0,0.0,7856.7
116,FL,228000.0,102,23256000.0,4186000.0,0.53,12326000.0,1999,0.0,11173.8,0.0,0.0,0.0,11173.8
117,FL,230000.0,98,22540000.0,4508000.0,0.64,14426000.0,1998,0.0,11049.1,0.0,0.0,0.0,11049.1
118,FL,232000.0,105,24360000.0,2923000.0,0.54,13154000.0,2000,0.0,6003.8,0.0,0.0,0.0,6003.8
119,FL,245000.0,60,14700000.0,1029000.0,2.08,30576000.0,2014,858.6,30203.3,13241.9,368.9,0.0,44672.7
120,GA,50000.0,52,2600000.0,52000.0,1.13,2938000.0,2002,0.0,5541.3,2643.7,0.0,0.0,8185.0
121,GA,52000.0,65,3380000.0,270000.0,1.28,4326000.0,2003,0.0,11799.7,1670.2,0.0,0.0,13469.9
122,GA,55000.0,46,2530000.0,152000.0,1.67,4225000.0,2010,2010.1,15499.6,8551.6,45.6,10.4,26117.3
123,GA,55000.0,57,3135000.0,188000.0,0.7,2195000.0,2001,0.0,4127.4,0.0,0.0,0.0,4127.4
